backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,train_next_activity_loss,test_next_time_to_next_event_loss,_step,train_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_time_to_next_event_loss,_wandb.runtime,best_train_next_time_to_next_event_loss,_timestamp,best_test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_remaining_time_loss,best_test_next_remaining_time_loss,_runtime,best_test_next_activity_loss,best_train_next_activity_acc,best_train_next_activity_loss,train_next_activity_acc,test_next_activity_acc,test_next_activity_loss,few_shot_k
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"-1,-2",5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,14233373,0.1,m151rbhu,worthy-morning-53,0.6512605307034174,1.431358057346828,9,0.6498722192673622,0.6498722192673622,0.8315368867843804,229,0.8315368867843804,1763421530.664256,1.431358057346828,0.6601193880468973,2.5830684245259374,2.240022588942561,229.278529426,0.9946862449041256,0.7554319160158576,0.6512605307034174,0.7554319160158576,0.6561695739205032,0.9946862449041256,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"0,1",5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,14233373,0.1,5dl172it,fanciful-dust-54,0.5224174354212403,1.404369017471637,9,0.6357473400869489,0.6357473400869489,0.7835798033141237,228,0.7835798033141237,1763421773.5378034,1.364220421997051,0.743565913640263,2.5483734831118077,2.308351581254507,228.76355838,0.7494271159904972,0.7988276929882769,0.5224174354212403,0.7988276929882769,0.7078388618816128,0.8122527427099963,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,0,5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,7145501,0.1,lvvh685p,golden-galaxy-55,0.545366574369796,1.428021694576005,9,0.6453740245150182,0.6453740245150182,0.8019992859345342,218,0.8019992859345342,1763422005.375604,1.402097911973294,0.7518587360594795,2.5558034806419885,2.0442180062197033,218.011738962,0.7695019641688186,0.7943528490973747,0.545366574369796,0.7943528490973747,0.7006005147269088,0.8911816783213159,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,-1,5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,7145501,0.1,tei0jmjn,rich-cloud-56,0.7187304038369284,1.483438718864257,9,0.6530126104619369,0.6530126104619369,0.8456946519687217,218,0.8456946519687217,1763422238.0300536,1.4384508412970511,0.6865170145839291,2.4751896420560304,2.2475398784236487,218.638762282,0.960734719493098,0.7304034165348035,0.7187304038369284,0.7304034165348035,0.6865170145839291,0.960734719493098,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,,5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,57629,0.1,6rpf2lkh,colorful-frost-57,0.979818274342683,1.5069906114546536,9,0.692655447552747,0.692655447552747,0.8975991196397346,206,0.8975991196397346,1763422458.227233,1.503965701311848,0.47576494137832426,2.2588997066557868,2.201827315714829,206.20417467,1.6080218773587691,0.6310295543872186,0.979818274342683,0.6310295543872186,0.47576494137832426,1.6080218773587691,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,0,freeze,,5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,57629,0.1,y89dctq1,playful-flower-58,,3.9735133165900014,0,,,,3,,1763422475.5739765,3.9735133165900014,0.015227337718044038,1.570675818961724,1.570675818961724,3.717593701,4.696781641693159,,,,0.015227337718044038,4.696781641693159,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,,5,768,BPI12,,5e-05,nep,1,,lstm,41,sum,124497437,57629,0.1,dd15wsyk,fine-haze-59,3.581801652908325,1.7239021110085546,9,0.8796117057402929,0.8380577123413483,0.8005652180096755,34,0.8005652180096755,1763422523.522764,1.7239021110085546,0.015227337718044038,1.5180059651630349,1.3910606015161475,34.776276702,3.892449896711262,0.06770833333333333,3.581801652908325,0.046875,0.015227337718044038,3.892449896711262,8.0
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,lora,,5,768,BPI12,512,5e-05,nep,1,256,lstm,41,sum,162246173,37806365,0.1,u9he5fhx,fresh-morning-60,2.278796205917994,1.570985017848234,9,0.7062152611712614,0.5645413047944506,0.8535657181249311,52,0.8122841895092279,1763422590.557211,1.570985017848234,0.08812911066628538,3.1091218202164215,1.3480634474570252,52.94342442,3.2746433030887436,0.34375,2.278796205917994,0.34375,0.020982270517586506,4.024426982918909,8.0
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"-1,-2",5,768,BPI12,,5e-05,nep,1,,lstm,42,sum,124497437,14233373,0.1,j0r39n68,rare-sea-62,0.6586895668007458,1.4920946009306506,9,0.6468976184921239,0.6468976184921239,0.8357554985932533,228,0.8357554985932533,1763423227.011902,1.4356677611061015,0.7173827566485559,2.4525923646647194,2.123942261165334,228.493697923,0.8437098346337407,0.7529052456059755,0.6586895668007458,0.7529052456059755,0.7173827566485559,0.8437098346337407,
gpt2,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,768,10,freeze,"0,1",5,768,BPI12,,5e-05,nep,1,,lstm,42,sum,124497437,14233373,0.1,ps52rtzd,woven-wildflower-63,0.5137106606194938,1.420267620550743,9,0.6333784461226789,0.6333784461226789,0.7771627362675227,227,0.7771627362675227,1763423467.942736,1.3993198625593717,0.7456569917071776,2.3689136682816283,1.972309936339732,227.575757501,0.7328379373568141,0.8079560342334065,0.5137106606194938,0.8079560342334065,0.7379360880754933,0.7328379373568141,
