backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,train_next_activity_loss,test_next_time_to_next_event_loss,_step,train_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_time_to_next_event_loss,_wandb.runtime,best_train_next_time_to_next_event_loss,_timestamp,best_test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_remaining_time_loss,best_test_next_remaining_time_loss,_runtime,best_test_next_activity_loss,best_train_next_activity_acc,best_train_next_activity_loss,train_next_activity_acc,test_next_activity_acc,test_next_activity_loss,few_shot_k
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,41,sum,1416343586,180529186,0.1,pw500u0f,comfy-microwave-46,0.6112695411796427,1.0853688551647829,9,0.6960918126704541,0.6960918126704541,0.7509824964437591,348,0.7413771923450049,1763541714.4864292,1.0059667253966378,0.7217821782178218,0.9405782063172596,0.9405782063172596,348.304099489,0.8613088467569634,0.825,0.6112695411796427,0.825,0.7029702970297029,0.8613088467569634,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,42,sum,1416343586,180529186,0.1,zm9s8dt2,smooth-lake-47,0.7759202666050485,1.0670637179837368,9,0.690714597746674,0.690714597746674,0.736049720075693,343,0.723377102077677,1763542129.1223354,0.953056994806422,0.7615841584158416,0.9199590162711568,0.90037702890906,343.133406435,0.8490576758007011,0.7732209737827715,0.7558166461044483,0.7699438202247191,0.7615841584158416,0.8659612228846786,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,43,sum,1416343586,180529186,0.1,d4bo3rdd,gentle-fire-48,1.3381651255075404,1.5346422335180905,9,0.8632121778606029,0.7083599110890864,0.8700573289215788,344,0.7571169902769367,1763542686.5407922,0.9657578397505354,0.7900990099009901,1.47326637551336,0.8779058334614971,344.800485272,0.7492013040627583,0.7662921348314606,0.7531707833768723,0.647378277153558,0.1891089108910891,2.6420118826686747,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,44,sum,1416343586,180529186,0.1,a8u1yffu,fallen-salad-49,0.5980955570378107,1.0855648637526103,9,0.750344147921055,0.7314552398545019,0.7898616383473078,346,0.7759828672873393,1763543082.9803455,1.0190133598063251,0.803960396039604,1.0383101635168095,0.9334732777057309,346.69044144,0.672033658145678,0.8218164794007491,0.5980955570378107,0.8218164794007491,0.803960396039604,0.672033658145678,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,45,sum,1416343586,180529186,0.1,b8x06mfq,restful-violet-50,0.5896083771512749,1.0035056593866631,9,0.6803399784623014,0.6803399784623014,0.7418927882606171,332,0.7418927882606171,1763543612.808452,0.9972547123691824,0.7241584158415841,1.0738913325980155,0.9559809375989556,332.129500187,0.8045120743477698,0.8204119850187266,0.5896083771512749,0.8204119850187266,0.6855445544554456,0.8045120743477698,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1235988514,121876514,0.1,0i0a6i1c,smart-lion-51,0.4486956984809275,1.7050301062706674,9,0.7644215451644154,0.6943119360489791,0.7028717727473612,177,0.6845778825354487,1763543832.9769518,1.0836091880042955,0.6613861386138614,1.1546403488310255,1.0069969723012189,177.676694881,1.0572029192140786,0.8610486891385768,0.4486956984809275,0.8610486891385768,0.6601980198019802,1.1422925809350344,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1235988514,121876514,0.1,p38jxnee,absurd-breeze-52,0.4524411351939712,1.2100070648382206,9,0.6789452133218894,0.6789452133218894,0.670230904589878,180,0.670230904589878,1763544053.748091,1.046779110313642,0.6730693069306931,1.053453634469816,0.9368274660393744,180.867843893,0.9631146825658212,0.8597378277153558,0.4524411351939712,0.8597378277153558,0.6730693069306931,0.9631146825658212,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1235988514,121876514,0.1,zng5cxzk,dandy-sun-53,0.5136901556775811,1.133235660213055,9,0.6694931735371829,0.6610481670286772,0.6680657398164942,177,0.66595145036442,1763544272.0659585,0.9562846744650662,0.6437623762376238,0.9596637176287056,0.9542233303749916,177.902722767,0.9945478596073566,0.8424157303370786,0.5136901556775811,0.8424157303370786,0.6067326732673267,1.1504417380720082,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,44,sum,1235988514,121876514,0.1,ww7ix943,robust-silence-54,0.4841048758574639,1.0398385567240196,9,0.648858893743615,0.648858893743615,0.6505239228184303,179,0.6505239228184303,1763544491.8429525,0.955131315193554,0.6637623762376238,1.0051717718520967,0.8981589130363842,179.427784926,0.9678043813988714,0.853183520599251,0.4841048758574639,0.853183520599251,0.6611881188118812,0.9900276487180502,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,45,sum,1235988514,121876514,0.1,96vaop72,ancient-sky-55,0.4272015520249413,2.142940334282299,9,0.7046959902463334,0.6784271004829514,0.6615355542201674,180,0.6615355542201674,1763544712.2918997,1.223189699154089,0.6841584158415842,1.5326639571992478,1.0872880618406997,180.701968363,0.9479757153161682,0.8673220973782771,0.4272015520249413,0.8673220973782771,0.6841584158415842,0.9522662843572032,
