backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,train_next_activity_loss,test_next_time_to_next_event_loss,_step,train_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_time_to_next_event_loss,_wandb.runtime,best_train_next_time_to_next_event_loss,_timestamp,best_test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_remaining_time_loss,best_test_next_remaining_time_loss,_runtime,best_test_next_activity_loss,best_train_next_activity_acc,best_train_next_activity_loss,train_next_activity_acc,test_next_activity_acc,test_next_activity_loss,few_shot_k
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,41,sum,2946782237,332440349,0.1,nr0rj0wc,fanciful-dawn-70,0.6508437687556435,1.495812645881371,9,0.6732286734993692,0.6732286734993692,0.796130861110258,3381,0.7659489626591209,1763430074.3742702,1.475754434374407,0.5794430940806405,2.3416315146186863,2.1301789659924735,3381.267449631,1.2022887723068183,0.7604257056811802,0.6307804753217188,0.7532370306092934,0.5573884758364313,1.413183084054439,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"-1,-2",5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,156128285,0.1,tcmg9rxa,silver-monkey-71,0.41759749091124054,1.3791509371542223,9,0.6770521745352184,0.6761257871952159,0.6749161513234153,2521,0.6749161513234153,1763432668.0994167,1.3575738080458175,0.7876036602802402,3.01440095440675,2.2008255356406083,2521.10147914,0.6751589460273385,0.8413642318751808,0.41759749091124054,0.8413642318751808,0.7513046897340577,0.7369511561169432,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"0,1",5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,156128285,0.1,98c80y9o,good-moon-72,0.4181750515442624,1.3217440861241865,9,0.6631106553939644,0.6631106553939644,0.6549660938698771,2522,0.6549660938698771,1763435261.2353067,1.3217440861241865,0.7906598513011153,2.5422825899163155,2.4564120391869,2522.688570877,0.705886775821081,0.8410409541796403,0.4181750515442624,0.8410409541796403,0.7175078638833285,0.7809689462798508,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,0,5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,78271517,0.1,5yr67vpa,morning-vortex-73,0.4435545088895042,1.3059691422100133,9,0.6588480696159444,0.6588480696159444,0.6691379416383781,2421,0.6691379416383781,1763437749.568303,1.3059691422100133,0.7927509293680297,2.2731803827635435,2.2731803827635435,2421.049855917,0.7292345700977801,0.8355962772021166,0.4435545088895042,0.8355962772021166,0.7791499857020303,0.7329954851822476,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,-1,5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,78271517,0.1,hmfvtw60,fallen-deluge-74,0.4272100216514059,1.4282334145357738,9,0.6728034426629935,0.6728034426629935,0.697966419960689,2402,0.6941649453006042,1763440210.4745948,1.3541504614302036,0.8062267657992565,2.5598756759608587,2.129163233742804,2402.566256612,0.6275678911795778,0.8398073945519201,0.4272100216514059,0.8398073945519201,0.8062267657992565,0.6275678911795778,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,414749,0.1,t4hgbuqu,gentle-valley-75,0.8946790107875815,1.479738356988192,9,0.6789686684381737,0.6789686684381737,0.869841638324196,2293,0.869841638324196,1763442578.2115915,1.4570878248662822,0.3911030883614527,1.9268038182702871,1.9268038182702871,2293.962822436,1.4933290973045774,0.6672706855188607,0.8946790107875815,0.6672706855188607,0.3580032885330283,1.4933290973045774,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,0,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,414749,0.1,8mmttsly,snowy-aardvark-76,,1.850371956382099,0,,,,37,,1763442688.2102804,1.850371956382099,0.048845438947669434,9.549292485850996,9.549292485850996,37.340454761,3.942577870123244,,,,0.048845438947669434,3.942577870123244,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,41,sum,2614514717,414749,0.1,n2k8bunn,devout-morning-77,2.225268542766571,1.6644654352221109,9,0.530125650887688,0.530125650887688,0.7304676240698124,411,0.710273151130726,1763443164.228464,1.561153186515532,0.07552902487846726,1.7391484419343588,1.2790477987286155,411.024109994,3.4154062512468397,0.4739583333333333,2.225268542766571,0.4739583333333333,0.06064126394052045,3.6911095730195496,8.0
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,41,sum,2946782237,332440349,0.1,hr5yl32f,earthy-feather-78,1.9310563604036968,2.440747910298243,9,0.905603876337409,0.8267041174694896,1.1152258217334747,533,0.9716026140376924,1763443765.3151526,1.60818580295563,0.06952387760937946,2.1911913306479764,1.1977765856724587,533.730790333,3.315740727819236,0.4010416666666667,1.903921681145827,0.4010416666666667,0.05022161853016872,4.281681062427288,8.0
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,42,sum,2946782237,332440349,0.1,8y2p70mg,vocal-glitter-79,0.5442782463082299,1.5724763939265187,9,0.6645123375135675,0.6645123375135675,0.7608585619200118,3377,0.7318441008435659,1763447207.540092,1.418904579479715,0.6155454675436088,2.72392400473352,2.132930409337942,3377.274288475,1.0973963368985529,0.818624198186242,0.4933859396091986,0.7918176713797151,0.6155454675436088,1.0973963368985529,
